Rank,Title,Genre,Description,Director,Actors,Year,Runtime (Minutes),Rating,Votes,Revenue (Millions),Metascore,Rated,Released,Writer,Country,Awards,BoxOffice
3,Split,"Horror,Thriller",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,M. Night Shyamalan,"James McAvoy, Anya Taylor-Joy, Haley Lu Richardson, Jessica Sula",2016,117,7.3,157606,138.12,62,PG-13,20 Jan 2017,M. Night Shyamalan,"United States, Japan",10 wins & 27 nominations total,"$138,291,365"
23,Hounds of Love,"Crime,Drama,Horror","A cold-blooded predatory couple while cruising the streets in search of their next victim, will stumble upon a 17-year-old high school girl, who will be sedated, abducted and chained in the strangers' guest room.",Ben Young,"Emma Booth, Ashleigh Cummings, Stephen Curry,Susie Porter",2016,108,6.7,1115,NA,72,Not Rated,12 May 2017,Ben Young,Australia,21 wins & 33 nominations total,N/A
28,Dead Awake,"Horror,Thriller",A young woman must save herself and her friends from an ancient evil that stalks its victims through the real-life phenomenon of sleep paralysis.,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego,Lori Petty",2016,99,4.7,523,0.01,NA,Not Rated,12 May 2017,Jeffrey Reddick,United States,4 wins & 2 nominations total,"$11,528"
35,Resident Evil: The Final Chapter,"Action,Horror,Sci-Fi","Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.",Paul W.S. Anderson,"Milla Jovovich, Iain Glen, Ali Larter, Shawn Roberts",2016,107,5.6,46165,26.84,49,R,27 Jan 2017,Paul W.S. Anderson,"Germany, Canada",2 wins & 3 nominations total,"$26,830,068"
43,Don't Fuck in the Woods,Horror,"A group of friends are going on a camping trip to celebrate graduating college. But once they enter the woods, the proverbial shit starts to hit the fan.",Shawn Burkett,"Brittany Blanton, Ayse Howard, Roman Jossart,Nadia White",2016,73,2.7,496,NA,NA,Unrated,25 Oct 2016,Shawn Burkett,United States,1 win & 1 nomination total,N/A
57,Don't Breathe,"Crime,Horror,Thriller","Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",Fede Alvarez,"Stephen Lang, Jane Levy, Dylan Minnette, Daniel Zovatto",2016,88,7.2,121103,89.21,71,R,26 Aug 2016,"Fede Alvarez, Rodo Sayagues","United States, Hungary",7 wins & 21 nominations total,"$89,217,875"
62,The Autopsy of Jane Doe,"Horror,Mystery,Thriller","A father and son, both coroners, are pulled into a complex mystery while attempting to identify the body of a young woman, who was apparently harboring dark secrets.",André Øvredal,"Brian Cox, Emile Hirsch, Ophelia Lovibond, Michael McElhatton",2016,86,6.8,35870,NA,65,R,21 Dec 2016,"Ian Goldberg, Richard Naing",United Kingdom,8 wins & 10 nominations total,"$10,474"
98,The Void,"Horror,Mystery,Sci-Fi","Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures.",Jeremy Gillespie,"Aaron Poole, Kenneth Welsh,Daniel Fathers, Kathleen Munroe",2016,90,5.8,9247,0.15,62,Not Rated,07 Apr 2017,"Jeremy Gillespie, Steven Kostanski",Canada,3 wins & 2 nominations total,"$151,042"
111,The Belko Experiment,"Action,Horror,Thriller","In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",Greg McLean,"John Gallagher Jr., Tony Goldwyn, Adria Arjona, John C. McGinley",2016,89,6.3,3712,10.16,44,R,17 Mar 2017,James Gunn,"United States, Colombia",N/A,"$10,166,820"
117,The Neon Demon,"Horror,Thriller","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Nicolas Winding Refn,"Elle Fanning, Christina Hendricks, Keanu Reeves, Karl Glusman",2016,118,6.2,50359,1.33,51,R,24 Jun 2016,"Nicolas Winding Refn, Mary Laws, Polly Stenham","United States, Belgium, Denmark, France",18 wins & 39 nominations total,"$1,333,124"
119,10 Cloverfield Lane,"Drama,Horror,Mystery","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",Dan Trachtenberg,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",2016,104,7.2,192968,71.9,76,PG-13,11 Mar 2016,"Josh Campbell, Matt Stuecken, Damien Chazelle",United States,16 wins & 48 nominations total,"$72,082,998"
133,The Shallows,"Drama,Horror,Thriller","A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills.",Jaume Collet-Serra,"Blake Lively, Óscar Jaenada, Angelo Josue Lozano Corzo, Brett Cullen",2016,86,6.4,78328,55.12,59,PG-13,24 Jun 2016,Anthony Jaswinski,"United States, Australia, Canada",1 win & 15 nominations total,"$55,124,043"
155,Twin Peaks: The Missing Pieces,"Drama,Horror,Mystery",Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the story's prequel.,David Lynch,"Chris Isaak, Kiefer Sutherland, C.H. Evans, Sandra Kinder",2014,91,8.1,1973,NA,NA,N/A,01 Aug 2014,"David Lynch, Mark Frost, Robert Engels","France, United States",N/A,N/A
156,Aliens vs Predator - Requiem,"Action,Horror,Sci-Fi","Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival.",Colin Strause,"Reiko Aylesworth, Steven Pasquale,Shareeka Epps, John Ortiz",2007,94,4.7,97618,41.8,29,NA,NA,NA,NA,NA,NA
173,Beyond the Gates,"Adventure,Horror",Two estranged brothers reunite at their missing father's video store and find a VCR board game dubbed 'Beyond The Gates' that holds a connection to their father's disappearance.,Jackson Stewart,"Graham Skipper, Chase Williamson, Brea Grant,Barbara Crampton",2016,84,5.2,2127,NA,59,Not Rated,09 Dec 2016,"Jackson Stewart, Stephen Scarlata",United States,2 wins & 1 nomination,N/A
179,The Conjuring 2,"Horror,Mystery,Thriller",Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by a malicious spirit.,James Wan,"Vera Farmiga, Patrick Wilson, Madison Wolfe, Frances O'Connor",2016,134,7.4,137203,102.46,65,R,10 Jun 2016,"Chad Hayes, Carey W. Hayes, James Wan","Canada, United States, United Kingdom",4 wins & 13 nominations total,"$102,516,140"
182,The VVitch: A New-England Folktale,"Horror,Mystery","A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession.",Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Julian Richings",2015,92,6.8,101781,25.14,83,NA,NA,NA,NA,NA,NA
188,Crimson Peak,"Drama,Fantasy,Horror","In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",Guillermo del Toro,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",2015,119,6.6,97454,31.06,66,R,16 Oct 2015,"Guillermo del Toro, Matthew Robbins","United States, Mexico, Canada",7 wins & 44 nominations total,"$31,090,320"
